 # freq       L_sq       flag
   749000000.           0.160427511                   1
   748000000.           0.160856768                   1
   747000000.           0.161287740                   1
   746000000.           0.161720410                   1
   745000000.           0.162154868                   1
   744000000.           0.162591055                   1
   743000000.           0.163029015                   1
   742000000.           0.163468733                   1
   741000000.           0.163910240                   1
   740000000.           0.164353535                   1
   739000000.           0.164798647                   1
   738000000.           0.165245548                   1
   737000000.           0.165694281                   1
   736000000.           0.166144848                   1
   735000000.           0.166597262                   1
   734000000.           0.167051509                   1
   733000000.           0.167507604                   1
   732000000.           0.167965591                   1
   731000000.           0.168425471                   1
   730000000.           0.168887228                   1
   729000000.           0.169350877                   1
   728000000.           0.169816449                   1
   727000000.           0.170283943                   1
   726000000.           0.170753375                   1
   725000000.           0.171224743                   1
   724000000.           0.171698049                   1
   723000000.           0.172173351                   1
   722000000.           0.172650620                   1
   721000000.           0.173129857                   1
   720000000.           0.173611104                   1
   719000000.           0.174094364                   1
   718000000.           0.174579665                   1
   717000000.           0.175066963                   1
   716000000.           0.175556332                   1
   715000000.           0.176047742                   1
   714000000.           0.176541209                   1
   713000000.           0.177036747                   1
   712000000.           0.177534387                   1
   711000000.           0.178034142                   1
   710000000.           0.178535998                   1
   709000000.           0.179039985                   1
   708000000.           0.179546118                   1
   707000000.           0.180054381                   1
   706000000.           0.180564806                   1
   705000000.           0.181077421                   1
   704000000.           0.181592211                   1
   703000000.           0.182109177                   1
   702000000.           0.182628393                   1
   701000000.           0.183149815                   1
   700000000.           0.183673471                   1
   699000000.           0.184199378                   1
   698000000.           0.184727550                   1
   697000000.           0.185258001                   1
   696000000.           0.185790718                   1
   695000000.           0.186325744                   1
   694000000.           0.186863109                   1
   693000000.           0.187402785                   1
   692000000.           0.187944800                   1
   691000000.           0.188489184                   1
   690000000.           0.189035907                   1
   689000000.           0.189585030                   1
   688000000.           0.190136567                   1
   687000000.           0.190690473                   1
   686000000.           0.191246852                   1
   685000000.           0.191805646                   1
   684000000.           0.192366883                   1
   683000000.           0.192930609                   1
   682000000.           0.193496779                   1
   681000000.           0.194065481                   1
   680000000.           0.194636688                   1
   679000000.           0.195210412                   1
   678000000.           0.195786670                   1
   677000000.           0.196365505                   1
   676000000.           0.196946889                   1
   675000000.           0.197530866                   1
   674000000.           0.198117435                   1
   673000000.           0.198706642                   1
   672000000.           0.199298471                   1
   671000000.           0.199892953                   1
   670000000.           0.200490102                   1
   669000000.           0.201089889                   1
   668000000.           0.201692432                   1
   667000000.           0.202297643                   1
   666000000.           0.202905610                   1
   665000000.           0.203516319                   1
   664000000.           0.204129770                   1
   663000000.           0.204746008                   1
   662000000.           0.205365047                   1
   661000000.           0.205986887                   1
   660000000.           0.206611589                   1
   659000000.           0.207239106                   1
   658000000.           0.207869470                   1
   657000000.           0.208502725                   1
   656000000.           0.209138915                   1
   655000000.           0.209777981                   1
   654000000.           0.210419998                   1
   653000000.           0.211064950                   1
   652000000.           0.211712897                   1
   651000000.           0.212363824                   1
   650000000.           0.213017747                   1
   649000000.           0.213674694                   1
   648000000.           0.214334697                   1
   647000000.           0.214997754                   1
   646000000.           0.215663925                   1
   645000000.           0.216333166                   1
   644000000.           0.217005521                   1
   643000000.           0.217681020                   1
   642000000.           0.218359679                   1
   641000000.           0.219041511                   1
   640000000.           0.219726562                   1
   639000000.           0.220414802                   1
   638000000.           0.221106321                   1
   637000000.           0.221801072                   1
   636000000.           0.222499102                   1
   635000000.           0.223200455                   1
   634000000.           0.223905087                   1
   633000000.           0.224613085                   1
   632000000.           0.225324482                   1
   631000000.           0.226039216                   1
   630000000.           0.226757377                   1
   629000000.           0.227478966                   1
   628000000.           0.228203982                   1
   627000000.           0.228932485                   1
   626000000.           0.229664490                   1
   625000000.           0.230399996                   1
   624000000.           0.231139034                   1
   623000000.           0.231881663                   1
   622000000.           0.232627884                   1
   621000000.           0.233377695                   1
   620000000.           0.234131098                   1
   619000000.           0.234888211                   1
   618000000.           0.235648975                   1
   617000000.           0.236413449                   1
   616000000.           0.237181649                   1
   615000000.           0.237953603                   1
   614000000.           0.238729328                   1
   613000000.           0.239508852                   1
   612000000.           0.240292192                   1
   611000000.           0.241079390                   1
   610000000.           0.241870478                   1
   609000000.           0.242665440                   1
   608000000.           0.243464336                   1
   607000000.           0.244267181                   1
   606000000.           0.245074019                   1
   605000000.           0.245884836                   1
   604000000.           0.246699721                   1
   603000000.           0.247518614                   1
   602000000.           0.248341635                   1
   601000000.           0.249168724                   1
   600000000.           0.250000000                   1
   599000000.           0.250835389                   1
   598000000.           0.251675069                   1
   597000000.           0.252518892                   1
   596000000.           0.253366947                   1
   595000000.           0.254219353                   1
   594000000.           0.255075991                   1
   593000000.           0.255937010                   1
   592000000.           0.256802440                   1
   591000000.           0.257672161                   1
   590000000.           0.258546412                   1
   589000000.           0.259425044                   1
   588000000.           0.260308206                   1
   587000000.           0.261195838                   1
   586000000.           0.262088060                   1
   585000000.           0.262984902                   1
   584000000.           0.263886303                   1
   583000000.           0.264792353                   1
   582000000.           0.265703022                   1
   581000000.           0.266618460                   1
   580000000.           0.267538637                   1
   579000000.           0.268463582                   1
   578000000.           0.269393355                   1
   577000000.           0.270327896                   1
   576000000.           0.271267354                   1
   575000000.           0.272211701                   1
   574000000.           0.273161024                   1
   573000000.           0.274115324                   1
   572000000.           0.275074571                   1
   571000000.           0.276038885                   1
   570000000.           0.277008325                   1
   569000000.           0.277982801                   1
   568000000.           0.278962523                   1
   567000000.           0.279947370                   1
   566000000.           0.280937433                   1
   565000000.           0.281932801                   1
   564000000.           0.282933444                   1
   563000000.           0.283939451                   1
   562000000.           0.284950793                   1
   561000000.           0.285967559                   1
   560000000.           0.286989778                   1
   559000000.           0.288017541                   1
   558000000.           0.289050788                   1
   557000000.           0.290089607                   1
   556000000.           0.291134030                   1
   555000000.           0.292184055                   1
   554000000.           0.293239832                   1
   553000000.           0.294301361                   1
   552000000.           0.295368612                   1
   551000000.           0.296441674                   1
   550000000.           0.297520667                   1
